timestamp,symbol,venue,real_type,fid_10,fid_11,fid_12,fid_13,fid_27,fid_28,fid_41,fid_51,fid_61,fid_71,raw_code
'2025-09-09 11:34:19.618299,005930,KRX,주식호가잔량,,,,5723747,,,+70900,+70800,226043,191278,005930
'2025-09-09 11:34:19.820487,005930,KRX,주식호가잔량,,,,5723747,,,+70900,+70800,226063,191278,005930
'2025-09-09 11:34:20.023242,005930,KRX,주식호가잔량,,,,5723747,,,+70900,+70800,226064,191278,005930
'2025-09-09 11:34:20.116778,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227057,13975,005930_NX
'2025-09-09 11:34:20.317826,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227057,13975,005930_NX
'2025-09-09 11:34:20.423320,005930,KRX,주식호가잔량,,,,5723747,,,+70900,+70800,226064,191278,005930
'2025-09-09 11:34:20.625521,005930,KRX,주식호가잔량,,,,5723758,,,+70900,+70800,227564,191278,005930
'2025-09-09 11:34:20.717151,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227057,13975,005930_NX
'2025-09-09 11:34:20.824871,005930,KRX,주식호가잔량,,,,5723758,,,+70900,+70800,227564,191267,005930
'2025-09-09 11:34:21.026847,005930,KRX,주식호가잔량,,,,5723758,,,+70900,+70800,227664,191267,005930
'2025-09-09 11:34:21.225924,005930,KRX,주식호가잔량,,,,5723780,,,+70900,+70800,227664,191245,005930
'2025-09-09 11:34:21.428766,005930,KRX,주식호가잔량,,,,5723780,,,+70900,+70800,227664,191245,005930
'2025-09-09 11:34:21.521159,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227057,13975,005930_NX
'2025-09-09 11:34:21.614600,005930,KRX,주식호가잔량,,,,5723781,,,+70900,+70800,227663,191244,005930
'2025-09-09 11:34:21.722943,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227057,13976,005930_NX
'2025-09-09 11:34:21.830476,005930,KRX,주식호가잔량,,,,5723851,,,+70900,+70800,227263,191174,005930
'2025-09-09 11:34:21.922542,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227472,13976,005930_NX
'2025-09-09 11:34:22.016224,005930,KRX,주식호가잔량,,,,5723851,,,+70900,+70800,227264,191174,005930
'2025-09-09 11:34:22.215574,005930,KRX,주식호가잔량,,,,5723851,,,+70900,+70800,227265,191174,005930
'2025-09-09 11:34:22.323502,005930,NXT,주식호가잔량,,,,2310965,,,+70900,+70800,227453,13976,005930_NX
'2025-09-09 11:34:22.430319,005930,KRX,주식호가잔량,,,,5723861,,,+70900,+70800,227265,191164,005930
'2025-09-09 11:34:22.522232,005930,NXT,주식호가잔량,,,,2310970,,,+70900,+70800,227448,13971,005930_NX
'2025-09-09 11:34:22.629583,005930,KRX,주식호가잔량,,,,5723861,,,+70900,+70800,227265,191164,005930
'2025-09-09 11:34:22.818426,005930,KRX,주식호가잔량,,,,5723861,,,+70900,+70800,227268,191164,005930
'2025-09-09 11:34:23.113907,005930,NXT,주식호가잔량,,,,2310970,,,+70900,+70800,227448,13971,005930_NX
'2025-09-09 11:34:23.222118,005930,KRX,주식호가잔량,,,,5723913,,,+70900,+70800,227209,191163,005930
'2025-09-09 11:34:23.314869,005930,NXT,주식호가잔량,,,,2310992,,,+70900,+70800,227448,13964,005930_NX
'2025-09-09 11:34:23.424774,005930,KRX,주식호가잔량,,,,5723913,,,+70900,+70800,227211,191263,005930
'2025-09-09 11:34:23.530680,005930,NXT,주식호가잔량,,,,2310992,,,+70900,+70800,227448,13949,005930_NX
'2025-09-09 11:34:23.624693,005930,KRX,주식호가잔량,,,,5723963,,,+70900,+70800,227167,191263,005930
'2025-09-09 11:34:23.812433,005930,KRX,주식호가잔량,,,,5723970,,,+70900,+70800,227248,191256,005930
